time;Si (?mol/L);Al (?mol/L)
0;0.341075849;0.871437486
0.016666667;0.394181261;1.024998505
0.033333333;0.537635959;1.192276023
0.05;0.712365411;1.334863842
0.066666667;0.901863496;1.447275363
0.083333333;1.145223656;1.543227086
0.1;1.304315731;1.619975709
0.116666667;1.501632505;1.683007834
0.133333333;1.706767967;1.883204949
0.15;1.957946815;2.050482467
0.166666667;2.049276925;2.456427069
0.183333333;2.156244411;2.796532475
0.2;2.292749164;3.194247178
0.216666667;2.468347359;3.523379385
0.233333333;2.574446102;3.978703384
0.25;2.711819599;4.359958287
0.266666667;2.849193095;4.746699791
0.283333333;3.016972602;5.067602098
0.3;3.093534078;5.542129196
0.316666667;3.192682876;5.937100599
0.333333333;3.27706304;6.408884396
0.35;3.384030526;6.801112499
0.366666667;3.490998013;7.2317468
0.383333333;3.628371509;7.591055305
0.4;3.697114297;8.232923691
0.416666667;3.788444406;8.770546685
0.433333333;4.003136043;9.472767668
0.45;4.263002323;10.05702676
0.466666667;4.431650573;10.77570754
0.483333333;4.646342209;11.37642643
0.5;4.861033846;11.91130612
0.516666667;5.1304563;12.35565692
0.533333333;5.314741927;13.26636869
0.55;5.552889628;14.02894227
0.566666667;5.729356566;14.84089525
0.583333333;5.952735634;15.51568323
0.6;6.130071315;16.3303795
0.616666667;6.353450383;17.01065409
0.633333333;6.561192074;17.75676787
0.65;6.823664584;18.37668986
0.666666667;7.225135997;19.30934802
0.683333333;7.735200303;20.0856381
0.7;8.021997621;21.02103957
0.716666667;8.37829439;21.80007295
0.733333333;8.594723513;22.79308371
0.75;8.866752197;23.62149649
0.766666667;9.107506128;24.59530415
0.783333333;9.402122134;25.40725713
0.8;9.690656938;26.43318749
0.816666667;10.05564114;27.28628996
0.833333333;10.42236283;28.34513992
0.85;10.88204003;29.22841869
0.866666667;11.07761932;30.21045625
0.883333333;11.32706068;31.03063913
0.9;11.60864554;32.09223239
0.916666667;11.96841728;32.97551116
0.933333333;12.24305219;34.05356422
0.95;12.5880553;34.95055949
0.966666667;12.85400278;36.07799194
0.983333333;13.18423726;37.01613671
1;13.5379278;38.22038156
1.016666667;13.97849265;39.22162222
1.033333333;14.356508;40.24755258
1.05;14.82921635;41.10065506
1.066666667;15.16031957;42.07446272
1.083333333;15.57134716;42.8864157
1.1;15.91982524;44.09340385
1.116666667;16.35517764;45.09738781
1.133333333;16.56118184;46.24950996
1.15;16.81496692;47.20685783
1.166666667;17.02183987;48.31234388
1.183333333;17.27562494;49.23128555
1.2;17.63279046;50.25447261
1.216666667;18.08638646;51.10757509
1.233333333;18.45310815;52.20757454
1.25;18.91539158;53.12651621
1.266666667;19.17091414;54.16067647
1.283333333;19.4907237;55.02200885
1.3;19.81053326;55.95741031
1.316666667;20.21026718;56.73918699
1.333333333;20.55527029;57.77609055
1.35;20.98801646;58.64016622
1.366666667;21.36516306;59.4713223
1.383333333;21.83179021;60.16257008
1.4;22.24976775;61.21319014
1.416666667;22.77373194;62.08823901
1.433333333;22.97539243;63.07301988
1.45;23.22570254;63.89594605
1.466666667;23.44473789;64.86975372
1.483333333;23.7193728;65.68444999
1.5;23.94622684;66.66648756
1.516666667;24.23736788;67.48392713
1.533333333;24.52937765;68.4028688
1.55;24.90218054;69.16818568
1.566666667;25.08038497;69.82651386
1.583333333;25.30810775;70.37511006
1.6;25.11362137;71.10476404
1.616666667;24.87135411;71.71371283
1.633333333;25.57775436;72.5860184
1.65;26.45529702;73.31292908
1.666666667;26.96101761;74.30593984
1.683333333;27.58923099;75.13435262
1.7;27.82650994;76.02586129
1.716666667;28.12112595;76.77197507
1.733333333;28.35058622;77.67445694
1.75;28.63738354;78.42605731
1.766666667;28.94937441;79.31207939
1.783333333;29.33520844;80.05270657
1.8;29.63156194;80.86465954
1.816666667;30.00957728;81.54219083
1.833333333;30.29811209;82.26087161
1.85;30.65180263;82.8588472
1.866666667;30.89168782;83.56106818
1.883333333;31.19672874;84.14258397
1.9;31.43661393;84.77347916
1.916666667;31.73383616;85.29738565
1.933333333;31.96590266;86.00783653
1.95;32.25530621;86.60032552
1.966666667;32.50474757;87.10502892
1.983333333;32.81152598;87.52743332
2;33.11830439;88.06231301
2.016666667;33.50848214;88.50940711
2.033333333;33.78311706;89.1512755
2.05;34.13246388;89.68341189
2.066666667;34.34107432;90.30059058
2.083333333;34.59920311;90.81352388
2.1;34.84951321;91.49654176
2.116666667;35.15802911;92.06434105
2.133333333;35.4926073;92.68974964
2.15;35.9018974;93.20816953
2.166666667;36.19477592;93.79517192
2.183333333;36.55541641;94.28067222
2.2;36.81528269;94.76068592
2.216666667;37.14291093;95.16114392
2.233333333;37.36107754;95.64115762
2.25;37.63831869;96.04161562
2.266666667;37.80696693;96.44207362
2.283333333;38.01731486;96.77669243
2.3;38.21115666;97.17166383
2.316666667;38.4562543;97.50353934
2.333333333;38.70917064;97.89028084
2.35;39.02984894;98.21392645
2.366666667;39.28276527;98.65553395
2.383333333;39.60431232;99.02581565
2.4;39.87460351;99.41530046
2.416666667;40.20483799;99.74168936
2.433333333;40.42561083;100.0872814
2.45;40.69677077;100.3752641
2.466666667;40.8671565;100.6989097
2.483333333;41.07055448;100.9676893
2.5;41.24094022;101.3160246
2.516666667;41.45389437;101.6040073
2.533333333;41.68335464;101.9002199
2.55;41.97275818;102.1470531
2.566666667;42.24565561;102.2814111
2.583333333;42.586315;102.3938226
2.6;42.81664402;102.7668476
2.616666667;43.10691631;103.07952
2.633333333;43.33724532;103.3181233
2.65;43.61969892;103.5183204
2.666666667;43.86827154;103.8337361
2.683333333;44.17591869;104.0997724
2.7;44.4583723;104.3932417
2.716666667;44.81032535;104.6373317
2.733333333;45.02501699;104.9801804
2.75;45.29096447;105.2654198
2.766666667;45.47177512;105.539686
2.783333333;45.69602293;105.7645728
2.8;45.86814616;106.1458277
2.816666667;46.08370654;106.4639867
2.833333333;46.23932364;106.6312642
2.85;46.42882172;106.7711087
