time;Si (?mol/L);Al (?mol/L)
0;1.101936008;0.962663728
0.016666667;1.271390817;1.276613193
0.033333333;1.409459044;1.535558401
0.05;1.579894683;1.753250418
0.066666667;1.669902208;1.893936476
0.083333333;1.776583853;2.00987062
0.1;1.930345371;2.098302635
0.116666667;2.116474301;2.172983587
0.133333333;2.270235819;2.583190499
0.15;2.457345579;2.924642091
0.166666667;2.523813168;3.191837938
0.183333333;2.605974047;3.41503038
0.2;2.696962402;3.720729206
0.216666667;2.811490694;3.976924202
0.233333333;3.02214039;4.073606856
0.25;3.280850789;4.153788233
0.266666667;3.595468536;4.492489612
0.283333333;3.990514398;4.776186736
0.3;4.289438854;4.969126837
0.316666667;4.66094478;5.129064385
0.333333333;4.944175945;5.649279809
0.35;5.300969411;6.084238636
0.366666667;5.480232526;6.510946825
0.383333333;5.708537175;6.866149481
0.4;5.855432878;7.378114267
0.416666667;6.035676824;7.807572668
0.433333333;6.175706712;8.204028516
0.45;6.354969827;8.534479257
0.466666667;6.567581185;8.999690425
0.483333333;6.828253245;9.385145422
0.5;7.033017958;9.836605526
0.516666667;7.293690018;10.21380988
0.533333333;7.48276144;10.6900219
0.55;7.719893564;11.08647775
0.566666667;7.827556041;11.66444764
0.583333333;7.967585929;12.1489103
0.6;8.278280354;12.60312062
0.616666667;8.661556247;12.9858254
0.633333333;9.021292205;13.40978338
0.65;9.469302923;13.76498603
0.666666667;9.984010125;14.46946572
0.683333333;10.62916781;15.05568625
0.7;11.20174402;15.67490933
0.716666667;11.91359819;16.19237454
0.733333333;12.50481018;16.69333848
0.75;13.24412761;17.10904581
0.766666667;13.81179966;17.68701571
0.783333333;14.52071134;18.17147836
0.8;15.06582429;18.90070996
0.816666667;15.74334939;19.5116824
0.833333333;16.33946553;20.16115783
0.85;17.08564877;20.70337495
0.866666667;17.74944224;21.24834229
0.883333333;18.58978522;21.70530282
0.9;19.13980233;22.50053953
0.916666667;19.82419324;23.16376601
0.933333333;20.27612728;23.83799335
0.95;20.845761;24.39946197
0.966666667;21.31633082;25.16719655
0.983333333;21.91146614;25.80842133
1;22.37517015;26.43589505
1.016666667;22.955593;26.95886069
1.033333333;23.40262289;27.60833612
1.05;23.95950581;28.14780303
1.066666667;24.416344;28.91278739
1.083333333;24.98303523;29.54851175
1.1;25.41633349;29.98347058
